frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
100,"714,96","714,96","5,03721","5,10686","3,08924","0,0060663","5,07293","7,30876","0,112824","0,999973",1,"-0,148903","-2,03606"
101,"714,812","714,812","5,0351","5,0992","3,0892","0,00601152","5,07141","7,31585","0,113292","0,999976",1,"-0,149653","-2,03684"
102,"714,529","714,529","5,03165","5,09383","3,0893","0,00595817","5,07837","7,37957","0,11432","0,999978",1,"-0,151721","-2,039"
103,"713,99","713,99","5,02898","5,0864","3,08941","0,00596134","5,06306","7,35545","0,114365","0,999981",1,"-0,15365","-2,04102"
104,"713,875","713,875","5,02499","5,08749","3,08922","0,0059514","5,07895","7,38487","0,114414","0,999983",1,"-0,155027","-2,04245"
105,"714,162","714,162","5,02454","5,09253","3,08936","0,00592359","5,09212","7,40142","0,116265","0,999984",1,"-0,154433","-2,04183"
106,"714,358","714,358","5,02228","5,09283","3,08947","0,00587848","5,08233","7,37209","0,115761","0,999986",1,"-0,152552","-2,03987"
107,"714,075","714,075","5,01802","5,09395","3,08933","0,00583013","5,07138","7,33922","0,115608","0,999987",1,"-0,153164","-2,04051"
108,"713,833","713,833","5,016","5,09283","3,08907","0,00578252","5,07755","7,35926","0,115664","0,999989",1,"-0,154781","-2,0422"
109,"714,303","714,303","5,01348","5,08609","3,089","0,00573512","5,06673","7,34776","0,115291","0,99999",1,"-0,151531","-2,0388"
110,"714,764","714,764","5,0122","5,07908","3,08925","0,00572541","5,05507","7,31815","0,115456","0,999991",1,"-0,148346","-2,03548"
111,"714,55","714,55","5,00918","5,07043","3,08939","0,00569037","5,03563","7,27994","0,115097","0,999992",1,"-0,148188","-2,03531"
112,"714,839","714,839","5,00681","5,06052","3,0896","0,0056738","5,03523","7,29108","0,114861","0,999992",1,"-0,146541","-2,03359"
113,"715,168","715,168","5,00579","5,05224","3,08997","0,00563502","5,03097","7,26582","0,114827","0,999993",1,"-0,144429","-2,03139"
114,"715,535","715,535","5,00328","5,04698","3,0903","0,00559602","5,03406","7,26669","0,114544","0,999994",1,"-0,142448","-2,02932"
115,"715,026","715,026","4,99956","5,04729","3,09035","0,00561644","5,03746","7,29885","0,114299","0,999995",1,"-0,145212","-2,03221"
116,"715,026","715,026","4,99833","5,05806","3,09064","0,00563064","5,08113","7,37236","0,116379","0,999995",1,"-0,147858","-2,03497"
117,"715,393","715,393","4,9951","5,08807","3,09072","0,00558916","5,14089","7,52204","0,118074","0,999996",1,"-0,149319","-2,03649"
118,"713,839","713,839","4,99196","5,12505","3,0908","0,00559054","5,16092","7,51646","0,117675","0,999996",1,"-0,158186","-2,04575"
119,"713,101","713,101","4,98972","5,1615","3,09095","0,00555411","5,16407","7,50635","0,117565","0,999996",1,"-0,161856","-2,04958"
120,"712,983","712,983","4,98743","5,18145","3,09117","0,00554011","5,16061","7,48124","0,117374","0,999997",1,"-0,161899","-2,04962"
121,"712,802","712,802","4,98458","5,18601","3,09138","0,00553656","5,16072","7,49938","0,117431","0,999997",1,"-0,162741","-2,0505"
122,"712,484","712,484","4,98219","5,18824","3,09148","0,0055031","5,17082","7,51569","0,117028","0,999997",1,"-0,164815","-2,05267"
123,"712,098","712,098","4,98281","5,19108","3,09166","0,00551272","5,17617","7,5192","0,1169","0,999998",1,"-0,167157","-2,05511"
124,"712,371","712,371","4,98069","5,1946","3,09176","0,00556049","5,17566","7,48877","0,116594","0,999998",1,"-0,165393","-2,05327"
125,"712,792","712,792","4,97877","5,19321","3,09173","0,00552177","5,15974","7,47359","0,116207","0,999998",1,"-0,162074","-2,04981"
126,"712,119","712,119","4,97934","5,1907","3,09167","0,00553607","5,16402","7,48346","0,116028","0,999998",1,"-0,165993","-2,05389"
127,"712,457","712,457","4,9793","5,18508","3,09185","0,00550956","5,15498","7,45864","0,116176","0,999998",1,"-0,163638","-2,05144"
128,"712,766","712,766","4,97793","5,18443","3,09187","0,00551119","5,17813","7,52288","0,116503","0,999999",1,"-0,163387","-2,05118"
129,"713,109","713,109","4,97617","5,19914","3,09196","0,00548721","5,2171","7,60412","0,117479","0,999999",1,"-0,16379","-2,0516"
